序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,137,UpscaleModelLoader,4x-UltraSharp.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%224x-UltraSharp.pth%22
2,82,LoraLoaderVanilla,EldritchComicsXL1.2-civitai.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22EldritchComicsXL1.2-civitai.safetensors%22
3,142,LoraLoaderVanilla,MJMangaSDXL-civitai.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22MJMangaSDXL-civitai.safetensors%22
4,79,CheckpointLoaderSimple,SC-Countryside2D-XL_v1.0.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22SC-Countryside2D-XL_v1.0.safetensors%22
5,145,LoraLoader,add-detail-xl.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22add-detail-xl.safetensors%22
6,96,ControlNetLoader,mistoLine_fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22mistoLine_fp16.safetensors%22
7,75,Miaoshouai_Tagger,promptgen_large_v2.0,,,,https://www.bing.com/search?q=site:huggingface.co+%22promptgen_large_v2.0%22
8,107,VAELoader,sdxl_vae.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22sdxl_vae.safetensors%22
9,100,ControlNetLoader,t2i-adapter_diffusers_xl_depth_zoe.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22t2i-adapter_diffusers_xl_depth_zoe.safetensors%22
