工作流文件,CSV文件,缺失数量
图像转漫画.json,图像转漫画.csv,9
图像转漫画.json,图像转漫画.csv,9
照片转卡通头像.json,照片转卡通头像.csv,11
照片转卡通头像.json,照片转卡通头像.csv,11
照片转手绘（可传风格参考）.json,照片转手绘（可传风格参考）.csv,6
照片转手绘（可传风格参考）.json,照片转手绘（可传风格参考）.csv,6
