序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,50,ESAM_ModelLoader_Zho,CUDA,,,,https://www.bing.com/search?q=site:huggingface.co+%22CUDA%22
2,32,IPAdapterUnifiedLoader,STANDARD (medium strength),,,,https://www.bing.com/search?q=site:huggingface.co+%22STANDARD+(medium+strength)%22
3,171,SUPIR_Upscale,SUPIR-v0F.ckpt,,,,https://www.bing.com/search?q=site:huggingface.co+%22SUPIR-v0F.ckpt%22
4,171,SUPIR_Upscale,XXMix_9realisticSDXL.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22XXMix_9realisticSDXL.safetensors%22
5,26,ControlNetLoader,control-lora-depth-rank256.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22control-lora-depth-rank256.safetensors%22
6,31,CheckpointLoaderSimple,juggernautXL_v9Rundiffusionphoto2.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22juggernautXL_v9Rundiffusionphoto2.safetensors%22
7,49,Yoloworld_ModelLoader_Zho,l,,,,https://www.bing.com/search?q=site:huggingface.co+%22l%22
8,66,ControlNetLoader,mistoLine_rank256.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22mistoLine_rank256.safetensors%22
