序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,3,CLIPVisionLoader,CLIP-ViT-H-14-laion2B-s32B-b79K.safetensors,已处理,https://huggingface.co/laion/CLIP-ViT-H-14-laion2B-s32B-b79K,https://hf-mirror.com/laion/CLIP-ViT-H-14-laion2B-s32B-b79K,
2,79,UpscaleModelLoader,RealESRGAN_x2plus.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22RealESRGAN_x2plus.pth%22
3,20,UpscaleModelLoader,RealESRGAN_x4plus.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22RealESRGAN_x4plus.pth%22
4,29,WanVideoVAELoader,Wan2_1_VAE_fp32.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22Wan2_1_VAE_fp32.safetensors%22
5,18,DownloadAndLoadGIMMVFIModel,gimmvfi_f_arb_lpips_fp32.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22gimmvfi_f_arb_lpips_fp32.safetensors%22
6,81,DownloadAndLoadGIMMVFIModel,gimmvfi_r_arb_lpips_fp32.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22gimmvfi_r_arb_lpips_fp32.safetensors%22
7,38,CLIPLoader,umt5_xxl_fp8_e4m3fn_scaled.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22umt5_xxl_fp8_e4m3fn_scaled.safetensors%22
8,27,UnetLoaderGGUF,wan2.1-i2v-14b-720p-Q8_0.gguf,,,,https://www.bing.com/search?q=site:huggingface.co+%22wan2.1-i2v-14b-720p-Q8_0.gguf%22
9,5,DiffusionModelLoaderKJ,wan2.1_i2v_480p_14B_bf16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22wan2.1_i2v_480p_14B_bf16.safetensors%22
10,37,UNETLoader,wan2.1_t2v_1.3B_fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22wan2.1_t2v_1.3B_fp16.safetensors%22
11,39,VAELoader,wan_2.1_vae.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22wan_2.1_vae.safetensors%22
12,63,CLIPVisionLoader,万相clip_vision_h.safetensors,,,,https://www.bing.com/search?q=site:liblib.art+%22万相clip_vision_h.safetensors%22
13,57,CLIPLoader,万相t5xxl_um_fp16.safetensors,,,,https://www.bing.com/search?q=site:liblib.art+%22万相t5xxl_um_fp16.safetensors%22
14,53,CLIPLoader,万相t5xxl_um_fp8_e4m3fn_scaled.safetensors,,,,https://www.bing.com/search?q=site:liblib.art+%22万相t5xxl_um_fp8_e4m3fn_scaled.safetensors%22
15,59,LoaderGGUF,万相wan2.1-i2v-14b-720p-q4_k_m.gguf,,,,https://www.bing.com/search?q=site:liblib.art+%22万相wan2.1-i2v-14b-720p-q4_k_m.gguf%22
16,49,LoaderGGUF,万相wan2.1-t2v-14b-q8_0.gguf,,,,https://www.bing.com/search?q=site:liblib.art+%22万相wan2.1-t2v-14b-q8_0.gguf%22
