序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,84,IPAdapterUnifiedLoader,PLUS (high strength),,,,https://www.bing.com/search?q=site:huggingface.co+%22PLUS+(high+strength)%22
2,39,DynamiCrafterLoader,dynamicrafter_unet_1024.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22dynamicrafter_unet_1024.safetensors%22
3,70,CheckpointLoaderSimple,juggernautXL_v9Rdphoto2Lightning.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22juggernautXL_v9Rdphoto2Lightning.safetensors%22
4,36,CheckpointLoaderSimple,juggernautXL_v9Rundiffusionphoto2.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22juggernautXL_v9Rundiffusionphoto2.safetensors%22
5,45,CLIPLoader,model.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22model.safetensors%22
6,43,CLIPVisionLoader,open_clip_pytorch_model.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22open_clip_pytorch_model.safetensors%22
7,53,VAELoader,vae-ft-mse-840000-ema-pruned.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22vae-ft-mse-840000-ema-pruned.safetensors%22
