序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,14,UpscaleModelLoader,4x-UltraSharp,,,,https://www.bing.com/search?q=site:huggingface.co+%224x-UltraSharp%22
2,17,UpscaleModelLoader,ESRGAN_4x,,,,https://www.bing.com/search?q=site:huggingface.co+%22ESRGAN_4x%22
3,52,UNETLoader,F.1-Fill-fp16_Inpaint&Outpaint_1.0,,,,https://www.bing.com/search?q=site:huggingface.co+%22F.1-Fill-fp16_Inpaint&Outpaint_1.0%22
4,22,SUPIR_Upscale,SUPIR-v0F_fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22SUPIR-v0F_fp16.safetensors%22
5,32,StyleModelLoader,flux1-redux-dev,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-redux-dev%22
6,"51,4",CheckpointLoaderSimple,miluo-flux-pro_模型配置更智能_v1.0,,,,https://www.bing.com/search?q=site:liblib.art+%22miluo-flux-pro_模型配置更智能_v1.0%22
7,35,CLIPVisionLoader,sigclip_vision_patch14_384,,,,https://www.bing.com/search?q=site:huggingface.co+%22sigclip_vision_patch14_384%22
8,11,LoraLoader,电商丨极致美学场景_v1.6,,,,https://www.bing.com/search?q=site:liblib.art+%22电商丨极致美学场景_v1.6%22
9,22,SUPIR_Upscale,真实感Juggernaut XL_V9+RDPhoto2-Lightning_4S,,,,https://www.bing.com/search?q=site:liblib.art+%22真实感Juggernaut+XL_V9+RDPhoto2-Lightning_4S%22
