序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,81,LoraLoader,F.1-小红书风格_最强网感｜穿搭 | 光效 | 彩妆_穿搭2.0,已处理,,,https://www.liblib.art/modelinfo/62db9235ba8e4f7d885956429b009e8e
2,90,UNETLoader,F.1基础算法模型-哩布在线可运行_F.1-dev-fp8.safetensors,已处理,,,https://www.liblib.art/modelinfo/488cd9d58cd4421b9e8000373d7da123
3,93,VAELoader,ae.safetensors,已处理,https://huggingface.co/StableDiffusionVN/Flux/resolve/main/Vae/flux_vae.safetensors,https://hf-mirror.com/StableDiffusionVN/Flux/resolve/main/Vae/flux_vae.safetensors,
4,91,DualCLIPLoader,clip_l.safetensors,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,
5,83,CheckpointLoaderSimple,flux1-dev-fp8.safetensors,已处理,https://huggingface.co/Kijai/flux-fp8/resolve/main/flux1-dev-fp8.safetensors,https://hf-mirror.com/Kijai/flux-fp8/resolve/main/flux1-dev-fp8.safetensors,
6,91,DualCLIPLoader,t5xxl_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp8_e4m3fn.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp8_e4m3fn.safetensors,
7,80,LoraLoader,北岸-韩国精致甜辣妹脸模-允芷_v1.safetensors,已处理,,,https://www.liblib.art/modelinfo/a322dca35bfa45f18a181a145fc683e4?versionUuid=f322552442d04c36b847bc8ce1e334be
8,58,LoraLoader,幻彩心绘Flux_彩铅线描插画风格_v1.0.safetensors,已处理,,,https://www.liblib.art/modelinfo/33f06fda1ab24fedab3fde5d51275956
