序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,77,LoraLoaderModelOnly,Catviton.safetensors,已处理,https://huggingface.co/zhengchong/CatVTON,https://hf-mirror.com/zhengchong/CatVTON,
2,11,CheckpointLoaderSimple,DreamShaper XL Turbo_SFW v2 Turbo.safetensors,已处理,https://huggingface.co/Lykon/dreamshaper-xl-v2-turbo/resolve/main/DreamShaperXL_Turbo_V2-SFW.safetensors,https://hf-mirror.com/Lykon/dreamshaper-xl-v2-turbo/resolve/main/DreamShaperXL_Turbo_V2-SFW.safetensors,
3,10,UNETLoader,F.1-Fill-fp16_Inpaint&Outpaint_1.0,已处理,https://huggingface.co/jojoban/F.1-Fill-fp16_Inpaint-Outpaint/tree/main,https://hf-mirror.com/jojoban/F.1-Fill-fp16_Inpaint-Outpaint/tree/main,
4,153,LoraLoaderModelOnly,FLUX.1-Turbo-Alpha.safetensors,已处理,https://huggingface.co/alimama-creative/FLUX.1-Turbo-Alpha,https://hf-mirror.com/alimama-creative/FLUX.1-Turbo-Alpha,
5,571,IPAdapterUnifiedLoader,PLUS FACE (portraits),已处理,https://huggingface.co/h94/IP-Adapter-FaceID,https://hf-mirror.com/h94/IP-Adapter-FaceID,
6,41,SUPIR_Upscale,SUPIR-v0F_fp16.safetensors,已处理,https://huggingface.co/Kijai/SUPIR_pruned/resolve/main/SUPIR-v0F_fp16.safetensors,https://hf-mirror.com/Kijai/SUPIR_pruned/resolve/main/SUPIR-v0F_fp16.safetensors,
7,50,VAELoader,ae.safetensors,已处理,https://huggingface.co/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,https://hf-mirror.com/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,
8,32,VAELoader,ae.sft,已处理,https://huggingface.co/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,https://hf-mirror.com/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,
9,73,LoraLoader,ali-flux-8step.safetensors,已处理,https://huggingface.co/alimama-creative/FLUX.1-Turbo-Alpha,https://hf-mirror.com/alimama-creative/FLUX.1-Turbo-Alpha,
10,49,DualCLIPLoader,clip_l.safetensors,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,
11,7,ControlNetLoader,diffusion_pytorch_model.safetensors,已处理,https://huggingface.co/stabilityai/sdxl-vae/resolve/main/diffusion_pytorch_model.safetensors,https://hf-mirror.com/stabilityai/sdxl-vae/resolve/main/diffusion_pytorch_model.safetensors,
12,142,UnetLoaderGGUF,flux1-fill-dev-fp16-Q8_0-GGUF.gguf,已处理,https://huggingface.co/SporkySporkness/FLUX.1-Fill-dev-GGUF/resolve/main/flux1-fill-dev-fp16-Q8_0-GGUF.gguf,https://hf-mirror.com/SporkySporkness/FLUX.1-Fill-dev-GGUF/resolve/main/flux1-fill-dev-fp16-Q8_0-GGUF.gguf,
13,48,UNETLoader,flux1-fill-dev.safetensors,已处理,https://huggingface.co/camenduru/FLUX.1-dev/resolve/main/flux1-fill-dev.safetensors,https://hf-mirror.com/camenduru/FLUX.1-dev/resolve/main/flux1-fill-dev.safetensors,
14,18,StyleModelLoader,flux1-redux-dev,已处理,https://huggingface.co/black-forest-labs/FLUX.1-Redux-dev,https://hf-mirror.com/black-forest-labs/FLUX.1-Redux-dev,
15,80,StyleModelLoader,flux1-redux-dev.safetensors,已处理,https://huggingface.co/black-forest-labs/FLUX.1-Redux-dev,https://hf-mirror.com/black-forest-labs/FLUX.1-Redux-dev,
16,2,InstantIDModelLoader,ip-adapter.bin,已处理,https://huggingface.co/docs/diffusers/main/en/using-diffusers/ip_adapter,https://hf-mirror.com/docs/diffusers/main/en/using-diffusers/ip_adapter,
17,41,SUPIR_Upscale,juggernautXL_v8Rundiffusion_V8,已处理,https://huggingface.co/RunDiffusion/Juggernaut-XL-v8/resolve/main/juggernautXL_v8Rundiffusion.safetensors,https://hf-mirror.com/RunDiffusion/Juggernaut-XL-v8/resolve/main/juggernautXL_v8Rundiffusion.safetensors,
18,55,VAELoader,sdxl_vae_fp16fix.safetensors,已处理,https://huggingface.co/madebyollin/sdxl-vae-fp16-fix/resolve/main/sdxl.vae.safetensors,https://hf-mirror.com/madebyollin/sdxl-vae-fp16-fix/resolve/main/sdxl.vae.safetensors,
19,55,CLIPVisionLoader,sigclip_patch14-384.safetensors,已处理,https://huggingface.co/Comfy-Org/sigclip_vision_384/resolve/main/sigclip_vision_patch14_384.safetensors,https://hf-mirror.com/Comfy-Org/sigclip_vision_384/resolve/main/sigclip_vision_patch14_384.safetensors,
