序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,50,VAELoader,ae.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22ae.safetensors%22
2,73,LoraLoader,ali-flux-8step.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22ali-flux-8step.safetensors%22
3,49,DualCLIPLoader,clip_l.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22clip_l.safetensors%22
4,48,UNETLoader,flux1-fill-dev.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-fill-dev.safetensors%22
5,53,StyleModelLoader,flux1-redux-dev.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-redux-dev.safetensors%22
6,55,CLIPVisionLoader,sigclip_patch14-384.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22sigclip_patch14-384.safetensors%22
