序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,65,PulidInsightFaceLoader,CPU,已处理,https://huggingface.co/blog/huggingface-amd-turin,https://hf-mirror.com/blog/huggingface-amd-turin,
2,88,UNETLoader,F.1-fp8 11G版_flux1-Schnell.safetensors,未找到LibLib,,,https://www.bing.com/search?q=site:liblib.art+%22F.1-fp8+11G版_flux1-Schnell.safetensors%22
3,12,UNETLoader,F.1基础算法模型-哩布在线可运行_F.1-dev-fp8.safetensors,已处理,,,https://www.liblib.art/modelinfo/488cd9d58cd4421b9e8000373d7da123
4,10,VAELoader,ae.safetensors,已处理,https://huggingface.co/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,https://hf-mirror.com/black-forest-labs/FLUX.1-schnell/resolve/main/ae.safetensors,
5,11,DualCLIPLoader,clip_l.safetensors,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,
6,42,StyleModelLoader,flux1-redux-dev.safetensors,已处理,https://huggingface.co/Runware/FLUX.1-Redux-dev/resolve/main/flux1-redux-dev.safetensors,https://hf-mirror.com/Runware/FLUX.1-Redux-dev/resolve/main/flux1-redux-dev.safetensors,
7,38,CLIPVisionLoader,model.safetensors,已处理,https://huggingface.co/docs/diffusers/main/en/using-diffusers/using_safetensors,https://hf-mirror.com/docs/diffusers/main/en/using-diffusers/using_safetensors,
8,66,PulidFluxModelLoader,pulid_flux_v0.9.1.safetensors,已处理,https://huggingface.co/guozinan/PuLID/resolve/main/pulid_flux_v0.9.1.safetensors,https://hf-mirror.com/guozinan/PuLID/resolve/main/pulid_flux_v0.9.1.safetensors,
9,11,DualCLIPLoader,t5xxl_fp16.safetensors,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp16.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp16.safetensors,
10,56,LoraLoaderModelOnly,星蝶公主风格情侣头像_FLUX-V1.safetensors,已处理,,,https://www.liblib.art/modelinfo/b7221470995044809c901a806abf0ec0?msgtype=8
