序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,52,GroundingDinoModelLoader (segment anything),GroundingDINO_SwinB (938MB),,,,https://www.bing.com/search?q=site:huggingface.co+%22GroundingDINO_SwinB+(938MB)%22
2,17,ControlNetLoader,Shakker-LabsFLUX.1-dev-ControlNet-Union-Pro.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22Shakker-LabsFLUX.1-dev-ControlNet-Union-Pro.safetensors%22
3,5,CheckpointLoaderSimple,flux1-dev-fp8.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-dev-fp8.safetensors%22
4,37,CheckpointLoaderSimple,juggernaut_reborn.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22juggernaut_reborn.safetensors%22
5,54,SAMModelLoader (segment anything),sam_vit_h (2.56GB),,,,https://www.bing.com/search?q=site:huggingface.co+%22sam_vit_h+(2.56GB)%22
