序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,166,LoraLoaderModelOnly,flux1-canny-dev-lora.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-canny-dev-lora.safetensors%22
2,"56,142",CheckpointLoaderSimple,flux1-dev-fp8-with_clip_vae.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-dev-fp8-with_clip_vae.safetensors%22
3,158,StyleModelLoader,flux1-redux-dev.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-redux-dev.safetensors%22
4,159,CLIPVisionLoader,googlesiglip-so400m-patch14-384.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22googlesiglip-so400m-patch14-384.safetensors%22
5,30,CheckpointLoaderSimple,majicmixRealistic_v7.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22majicmixRealistic_v7.safetensors%22
6,39,VAELoader,vaeFtMse840000Ema_v10.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22vaeFtMse840000Ema_v10.safetensors%22
