序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,8,VAELoader,ae.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22ae.safetensors%22
2,35,FluxLoraLoader,anime_lora.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22anime_lora.safetensors%22
3,32,LoadFluxIPAdapter,flux-ip-adapter.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux-ip-adapter.safetensors%22
4,10,UNETLoader,flux1-dev-fp8.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-dev-fp8.safetensors%22
5,4,DualCLIPLoader,t5xxl_fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22t5xxl_fp16.safetensors%22
