序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,16,UNETLoader,mochi_preview_bf16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22mochi_preview_bf16.safetensors%22
2,4,CheckpointLoaderSimple,mochi_preview_fp8_scaled.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22mochi_preview_fp8_scaled.safetensors%22
3,24,VAELoader,mochi_vae.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22mochi_vae.safetensors%22
4,18,CLIPLoader,t5xxl_fp8_e4m3fn.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22t5xxl_fp8_e4m3fn.safetensors%22
