序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,13,VAELoader,ae.sft,,,,https://www.bing.com/search?q=site:huggingface.co+%22ae.sft%22
2,16,DualCLIPLoader,clip_l.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22clip_l.safetensors%22
3,12,UNETLoader,flux1-depth-dev.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-depth-dev.safetensors%22
