序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,16,BrushNetLoader,diffusion_pytorch_model.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22diffusion_pytorch_model.safetensors%22
2,12,Efficient Loader,dreamshaper_8_v8.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22dreamshaper_8_v8.safetensors%22
3,11,PowerPaintCLIPLoader,model.fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22model.fp16.safetensors%22
