序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,1,Note,"If you have Triton installed, connect this for ~30% speed increase",,,,"https://www.bing.com/search?q=site:huggingface.co+%22If+you+have+Triton+installed,+connect+this+for+~30%+speed+increase%22"
2,32,WanVideoVAELoader,Wan2_1_VAE_bf16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22Wan2_1_VAE_bf16.safetensors%22
3,29,Note,"While the WanVideo 1.3B model is in FP32, the VACE module in it is in BF16, so using fp16_fast is technically lossy, but seems to be fine if you want the speed boost.",,,,"https://www.bing.com/search?q=site:huggingface.co+%22While+the+WanVideo+1.3B+model+is+in+FP32,+the+VACE+module+in+it+is+in+BF16,+so+using+fp16_fast+is+technically+lossy,+but+seems+to+be+fine+if+you+want+the+speed+boost.%22"
4,31,WanVideoModelLoader,diffusion_pytorch_model.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22diffusion_pytorch_model.safetensors%22
5,33,LoadWanVideoT5TextEncoder,umt5-xxl-enc-bf16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22umt5-xxl-enc-bf16.safetensors%22
