序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,123,ControlNetLoader,TTPLANET_Controlnet_Tile_realistic_v2_fp16.safetensors,已处理,https://huggingface.co/TTPlanet/TTPLanet_SDXL_Controlnet_Tile_Realistic/resolve/main/TTPLANET_Controlnet_Tile_realistic_v2_fp16.safetensors,https://hf-mirror.com/TTPlanet/TTPLanet_SDXL_Controlnet_Tile_Realistic/resolve/main/TTPLANET_Controlnet_Tile_realistic_v2_fp16.safetensors,
2,127,ControlNetLoader,control_instant_id_sdxl.safetensors,已处理,https://huggingface.co/dominic1021/controls/resolve/main/control_instant_id_sdxl.safetensors,https://hf-mirror.com/dominic1021/controls/resolve/main/control_instant_id_sdxl.safetensors,
3,49,CheckpointLoaderSimple,dreamshaperXL_lightningDPMSDE.safetensors,已处理,https://huggingface.co/gingerlollipopdx/ModelsXL/resolve/main/dreamshaperXL_lightningDPMSDE.safetensors,https://hf-mirror.com/gingerlollipopdx/ModelsXL/resolve/main/dreamshaperXL_lightningDPMSDE.safetensors,
4,13,UltralyticsDetectorProvider,face_yolov8m.pt,已处理,https://huggingface.co/Bingsu/adetailer/resolve/main/face_yolov8m.pt,https://hf-mirror.com/Bingsu/adetailer/resolve/main/face_yolov8m.pt,
5,125,InstantIDModelLoader,ip-adapter.bin,已处理,https://huggingface.co/h94/IP-Adapter,https://hf-mirror.com/h94/IP-Adapter,
6,14,SAMLoader,sam_vit_b_01ec64.pth,已处理,https://huggingface.co/datasets/Gourieff/ReActor/resolve/main/models/sams/sam_vit_b_01ec64.pth,https://hf-mirror.com/datasets/Gourieff/ReActor/resolve/main/models/sams/sam_vit_b_01ec64.pth,
