序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,12,PhotoMakerInsightFaceLoader,CUDA,,,,https://www.bing.com/search?q=site:huggingface.co+%22CUDA%22
2,25,ControlNetLoader,diffusion_pytorch_model.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22diffusion_pytorch_model.safetensors%22
3,23,InstantIDModelLoader,ip-adapter.bin,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter.bin%22
4,14,CheckpointLoaderSimple,juggernautXL_v9Rdphoto2Lightning.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22juggernautXL_v9Rdphoto2Lightning.safetensors%22
5,"10,21","PhotoMakerLoaderPlus,LoraLoaderModelOnly",photomaker-v2.bin,,,,https://www.bing.com/search?q=site:huggingface.co+%22photomaker-v2.bin%22
