序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,105,Note,Make sure the resolution is multiple of 64 pixels and adds up to around 1 megapixel.,,,,https://www.bing.com/search?q=site:huggingface.co+%22Make+sure+the+resolution+is+multiple+of+64+pixels+and+adds+up+to+around+1+megapixel.%22
2,11,TripleCLIPLoader,clip_g_sdxl_base.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22clip_g_sdxl_base.safetensors%22
3,4,CheckpointLoaderSimple,sd3.5_large_turbo.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22sd3.5_large_turbo.safetensors%22
