序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,1,CheckpointLoaderSimple,RealVisXL_v4_BakedVAE.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22RealVisXL_v4_BakedVAE.safetensors%22
2,21,ControlNetLoader,diffusion_pytorch_model.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22diffusion_pytorch_model.safetensors%22
3,19,InstantIDModelLoader,ip-adapter.bin,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter.bin%22
4,3,HyperLoRALoader,sdxl_hyper_id_lora_v1_fidelity,,,,https://www.bing.com/search?q=site:huggingface.co+%22sdxl_hyper_id_lora_v1_fidelity%22
