序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,"17,56",CheckpointLoaderSimple,flux1-dev-fp8-with_clip_vae.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-dev-fp8-with_clip_vae.safetensors%22
2,30,CheckpointLoaderSimple,majicmixRealistic_v7.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22majicmixRealistic_v7.safetensors%22
3,39,VAELoader,vaeFtMse840000Ema_v10.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22vaeFtMse840000Ema_v10.safetensors%22
